Model_Name,Alpha,Beta,Std_Error_HAC,T_Stat_HAC,P_Value_HAC,R_Squared,N_Obs,HAC_Lags
1. Global BTC (RV30 future),0.1964395101626405,0.5446886141259017,0.08509998367386588,6.400572486750959,1.547954390432814e-10,0.32875987986299837,1171,30
2. Global SPX (RV30 future),0.004699244659704664,0.7920904589832839,0.09682283150267715,8.180823124981453,2.819114535535413e-16,0.3576307325969049,1171,30
3. BTC Regime Normal,0.19651729215138425,0.5373147372988804,0.1166700243216182,4.605422347540554,4.116295688127754e-06,0.2910257688768261,955,30
4. BTC Regime Stress,0.28945083881613876,0.44175402385786205,0.30166403942582504,1.4643907331436605,0.14308721864910606,0.18509559502794048,117,30
5. SPX Regime Normal,-0.02346417426606649,0.9725870031058428,0.20446045866811216,4.756846431047982,1.9664064377232034e-06,0.2663429875985581,955,30
6. SPX Regime Stress,0.14161953572123376,0.32377505394903483,0.09835518072378652,3.2918962841245847,0.0009951430423633136,0.047521672908843016,120,30
