date,btc_open,btc_high,btc_low,btc_close,btc_volume,dvol_open,dvol_high,dvol_low,dvol_close,spx_open,spx_high,spx_low,spx_close,spx_volume,vix_open,vix_high,vix_low,vix_close
2021-03-24,54342.8,57200.0,51700.0,52303.65,83537.465021,84.8,95.94,80.52,95.04,3919.929931640625,3942.080078125,3889.070068359375,3889.139892578125,4783020000,20.63999938964844,21.489999771118164,19.299999237060547,21.200000762939453
2021-03-25,52303.66,53287.0,50427.56,51293.78,87400.534538,95.03,97.43,87.25,89.74,3879.340087890625,3919.5400390625,3853.5,3909.52001953125,4948340000,20.799999237060547,23.549999237060547,19.809999465942383,19.809999465942383
2021-03-26,51293.78,55073.46,51214.6,55025.59,63813.774692,89.74,89.74,80.22,84.52,3917.1201171875,3978.18994140625,3917.1201171875,3974.5400390625,5483160000,19.31999969482422,21.489999771118164,18.68000030517578,18.86000061035156
2021-03-29,55777.65,58405.82,54800.01,57635.47,67857.937398,79.07,83.74,78.88,83.71,3969.31005859375,3981.830078125,3943.25,3971.090087890625,4628180000,20.399999618530273,21.600000381469727,19.420000076293945,20.739999771118164
2021-03-30,57635.46,59368.0,57071.35,58746.57,55122.443122,83.71,86.36,82.0,85.08,3963.340087890625,3968.010009765625,3944.35009765625,3958.550048828125,4121510000,20.760000228881836,21.75,19.469999313354492,19.61000061035156
2021-03-31,58746.57,59800.0,56769.0,58740.55,60975.542666,85.08,86.82,83.74,86.45,3967.25,3994.409912109375,3966.97998046875,3972.889892578125,4578050000,19.799999237060547,20.11000061035156,18.850000381469727,19.399999618530273
2021-04-01,58739.46,59490.0,57935.45,58720.44,47415.61722,86.45,86.63,81.2,82.38,3992.780029296875,4020.6298828125,3992.780029296875,4019.8701171875,4162130000,18.600000381469727,18.63999938964844,17.290000915527344,17.329999923706055
2021-04-05,58202.01,59272.0,56777.77,59129.99,54258.01579,82.42,82.6,78.73,80.22,4034.43994140625,4083.419921875,4034.43994140625,4077.909912109375,4005030000,18.15999984741211,18.399999618530273,17.350000381469727,17.90999984741211
2021-04-06,59129.99,59495.24,57413.02,57991.15,54201.000727,80.22,81.3,79.67,81.01,4075.570068359375,4086.22998046875,4068.139892578125,4073.93994140625,4081270000,18.06999969482422,18.299999237060547,17.3700008392334,18.1200008392334
2021-04-07,57990.03,58655.0,55473.0,55953.45,71228.405659,81.01,81.14,78.36,78.78,4074.2900390625,4083.1298828125,4068.31005859375,4079.949951171875,4120810000,17.989999771118164,18.170000076293945,16.8700008392334,17.15999984741211
2021-04-08,55953.44,58153.31,55700.0,58077.52,44283.147019,78.78,79.0,72.79,74.31,4089.949951171875,4098.18994140625,4082.5400390625,4097.169921875,3907100000,16.920000076293945,17.360000610351562,16.549999237060547,16.950000762939453
2021-04-09,58077.52,58894.9,57654.0,58142.54,40831.884911,74.32,77.54,72.19,77.07,4096.10986328125,4129.47998046875,4095.510009765625,4128.7998046875,3640390000,17.049999237060547,17.34000015258789,16.200000762939453,16.690000534057617
2021-04-12,59998.8,61300.0,59350.59,59860.0,56375.037117,82.61,84.81,78.98,84.5,4124.7099609375,4131.759765625,4114.81982421875,4127.990234375,3588900000,17.43000030517578,17.90999984741211,16.809999465942383,16.90999984741211
2021-04-13,59860.01,63777.77,59805.15,63575.0,82848.688746,84.5,89.14,84.46,88.64,4130.10009765625,4148.0,4124.43017578125,4141.58984375,3734720000,16.989999771118164,17.860000610351562,16.43000030517578,16.649999618530273
2021-04-14,63575.01,64854.0,61301.0,62959.53,82616.343993,88.64,88.67,83.41,83.85,4141.580078125,4151.68994140625,4120.8701171875,4124.66015625,3985350000,16.709999084472656,17.690000534057617,15.380000114440918,16.989999771118164
2021-04-15,62959.53,63800.0,62020.0,63159.98,51649.70034,83.85,84.25,76.12,77.08,4139.759765625,4173.490234375,4139.759765625,4170.419921875,4033420000,16.780000686645508,16.920000076293945,15.9399995803833,16.56999969482422
2021-04-16,63158.74,63520.61,60000.0,61334.8,91764.139884,77.08,79.26,74.98,77.67,4174.14013671875,4191.31005859375,4170.75,4185.47021484375,4163820000,16.649999618530273,16.8799991607666,16.049999237060547,16.25
2021-04-19,56150.01,57526.81,54221.58,55633.14,78229.042267,88.4,89.25,82.29,83.2,4179.7998046875,4180.81005859375,4150.47021484375,4163.259765625,3810290000,17.040000915527344,18.61000061035156,16.780000686645508,17.290000915527344
2021-04-20,55633.14,57076.24,53329.96,56425.0,72744.482151,83.2,84.97,80.79,82.96,4159.18017578125,4159.18017578125,4118.3798828125,4134.93994140625,4342650000,17.360000610351562,19.700000762939453,17.239999771118164,18.68000030517578
2021-04-21,56425.0,56757.91,53536.02,53787.63,66984.756909,82.96,83.55,80.11,83.0,4128.419921875,4175.02001953125,4126.35009765625,4173.419921875,3887250000,18.479999542236328,19.290000915527344,16.90999984741211,17.5
2021-04-22,53787.62,55521.48,50500.0,51690.96,104656.631337,83.0,95.93,76.69,87.39,4170.4599609375,4179.56982421875,4123.68994140625,4134.97998046875,4245140000,17.280000686645508,19.899999618530273,16.989999771118164,18.709999084472656
2021-04-23,51690.95,52131.85,47500.0,51125.14,132230.780719,87.39,96.28,87.39,89.31,4138.77978515625,4194.169921875,4138.77978515625,4180.169921875,3569880000,18.559999465942383,18.780000686645508,16.799999237060547,17.329999923706055
2021-04-26,49066.76,54356.62,48753.44,54001.39,86310.802124,93.46,93.57,80.3,82.66,4185.02978515625,4194.18994140625,4182.35986328125,4187.6201171875,3748320000,17.940000534057617,18.170000076293945,16.8700008392334,17.639999389648438
2021-04-27,54001.38,55460.0,53222.0,55011.97,54064.034675,82.66,82.66,74.21,77.53,4188.25,4193.35009765625,4176.22021484375,4186.72021484375,3710700000,17.6200008392334,18.15999984741211,16.969999313354492,17.559999465942383
2021-04-28,55011.97,56428.0,53813.16,54846.22,55130.459015,77.53,79.2,75.52,76.96,4185.14013671875,4201.52978515625,4181.77978515625,4183.18017578125,3787360000,17.469999313354492,17.84000015258789,16.670000076293945,17.280000686645508
2021-04-29,54846.23,55195.84,52330.94,53555.0,52486.019455,76.96,80.62,75.8,80.2,4206.14013671875,4218.77978515625,4176.81005859375,4211.47021484375,4298680000,16.8799991607666,18.8700008392334,16.770000457763672,17.610000610351562
2021-04-30,53555.0,57963.0,53013.01,57694.27,68578.910045,80.2,80.65,73.95,75.09,4198.10009765625,4198.10009765625,4174.85009765625,4181.169921875,4300880000,17.670000076293945,19.25,17.639999389648438,18.61000061035156
2021-05-03,56578.21,58981.44,56435.0,57169.39,57649.931286,79.09,82.3,75.18,81.79,4191.97998046875,4209.39013671875,4188.02978515625,4192.66015625,4070220000,18.649999618530273,19.1200008392334,17.799999237060547,18.309999465942383
2021-05-04,57169.39,57200.0,53046.69,53200.01,85324.625903,81.79,88.18,81.79,87.96,4179.0400390625,4179.0400390625,4128.58984375,4164.66015625,4452460000,18.15999984741211,21.850000381469727,18.11000061035156,19.479999542236328
2021-05-05,53205.05,58069.82,52900.0,57436.11,77263.923439,87.96,88.2,83.51,84.39,4177.06005859375,4187.72021484375,4160.93994140625,4167.58984375,4230920000,18.84000015258789,19.579999923706055,17.889999389648438,19.149999618530273
2021-05-06,57436.11,58360.0,55200.0,56393.68,70181.671908,84.39,85.36,80.31,82.14,4169.14013671875,4202.7001953125,4147.330078125,4201.6201171875,4511000000,18.40999984741211,20.600000381469727,18.209999084472656,18.38999938964844
2021-05-07,56393.68,58650.0,55241.63,57314.75,74542.747829,82.14,83.05,78.3,80.56,4210.33984375,4238.0400390625,4201.64013671875,4232.60009765625,4016080000,18.450000762939453,18.56999969482422,16.68000030517578,16.690000534057617
2021-05-10,58240.83,59500.0,53400.0,55816.14,89586.34925,86.05,91.57,85.67,90.26,4228.2900390625,4236.39013671875,4188.1298828125,4188.43017578125,4560700000,17.34000015258789,19.75,17.06999969482422,19.65999984741211
2021-05-11,55816.14,56862.43,54370.0,56670.02,64329.54055,90.26,90.54,84.91,86.27,4150.33984375,4162.0400390625,4111.52978515625,4152.10009765625,4870710000,21.170000076293945,23.729999542236328,20.709999084472656,21.84000015258789
2021-05-12,56670.02,58000.01,48600.0,49631.32,99842.789836,86.27,94.13,82.91,93.86,4130.5498046875,4134.72998046875,4056.8798828125,4063.0400390625,4733070000,22.420000076293945,28.3799991607666,21.65999984741211,27.59000015258789
2021-05-13,49537.15,51367.19,46000.0,49670.97,147332.002121,93.87,103.81,89.19,92.9,4074.989990234375,4131.580078125,4074.989990234375,4112.5,4779540000,26.030000686645508,28.93000030517578,22.229999542236328,23.1299991607666
2021-05-14,49671.92,51483.0,48799.75,49841.45,80082.204306,90.72,101.15,90.37,98.46,4129.580078125,4183.1298828125,4129.580078125,4173.85009765625,4008880000,21.770000457763672,22.100000381469727,18.65999984741211,18.809999465942383
2021-05-17,46426.83,46686.0,42001.0,43538.04,166657.172736,105.28,158.72,104.94,123.02,4169.919921875,4171.919921875,4142.68994140625,4163.2900390625,4125050000,19.88999938964844,21.579999923706055,19.670000076293945,19.719999313354492
2021-05-18,43538.02,45799.29,42250.02,42849.78,116979.860784,123.01,123.01,112.83,117.01,4165.93994140625,4169.14990234375,4125.990234375,4127.830078125,4398150000,18.88999938964844,21.450000762939453,18.809999465942383,21.34000015258789
2021-05-19,42849.78,43584.9,30000.0,36690.09,354347.243161,117.01,144.63,115.28,124.83,4098.4501953125,4116.93017578125,4061.409912109375,4115.68017578125,4247450000,22.459999084472656,25.959999084472656,21.8799991607666,22.18000030517578
2021-05-20,36671.23,42451.67,34850.0,40526.64,203017.596923,124.84,132.06,112.56,119.77,4121.97021484375,4172.7998046875,4121.97021484375,4159.1201171875,3978880000,22.329999923706055,23.5,20.190000534057617,20.670000076293945
2021-05-21,40525.39,42200.0,33488.0,37252.01,202100.888258,119.77,145.01,112.2,139.98,4168.60986328125,4188.72021484375,4151.72021484375,4155.85986328125,3995250000,20.420000076293945,20.88999938964844,19.530000686645508,20.149999618530273
2021-05-24,34681.44,39920.0,34031.0,38796.29,161630.893971,156.2,156.2,121.77,125.12,4170.16015625,4209.52001953125,4170.16015625,4197.0498046875,3684800000,20.5,20.510000228881836,18.3799991607666,18.399999618530273
