date,btc_open,btc_high,btc_low,btc_close,btc_volume,dvol_open,dvol_high,dvol_low,dvol_close,spx_open,spx_high,spx_low,spx_close,spx_volume,vix_open,vix_high,vix_low,vix_close,btc_log_return,spx_log_return,btc_rv_7d,spx_rv_7d,btc_rv_14d,spx_rv_14d,btc_rv_30d,spx_rv_30d,btc_iv,spx_iv,btc_vrp_7d,spx_vrp_7d,btc_vrp_14d,spx_vrp_14d,btc_vrp_30d,spx_vrp_30d,btc_stress,spx_stress,global_stress,regime_label
2021-03-24,54342.8,57200.0,51700.0,52303.65,83537.465021,84.8,95.94,80.52,95.04,3919.929931640625,3942.080078125,3889.070068359375,3889.139892578125,4783020000,20.63999938964844,21.489999771118164,19.299999237060547,21.200000762939453,,,,,,,,,0.9504,0.2120000076293945,,,,,,,0,0,0,normal
2021-03-25,52303.66,53287.0,50427.56,51293.78,87400.534538,95.03,97.43,87.25,89.74,3879.340087890625,3919.5400390625,3853.5,3909.52001953125,4948340000,20.799999237060547,23.549999237060547,19.809999465942383,19.809999465942383,-0.0194966610483523,0.0052265834327292,,,,,,,0.8974,0.1980999946594238,,,,,,,0,0,0,normal
2021-03-26,51293.78,55073.46,51214.6,55025.59,63813.774692,89.74,89.74,80.22,84.52,3917.1201171875,3978.18994140625,3917.1201171875,3974.5400390625,5483160000,19.31999969482422,21.489999771118164,18.68000030517578,18.86000061035156,0.0702288524916593,0.0164944186587165,,,,,,,0.8452,0.1886000061035156,,,,,,,0,0,0,normal
2021-03-29,55777.65,58405.82,54800.01,57635.47,67857.937398,79.07,83.74,78.88,83.71,3969.31005859375,3981.830078125,3943.25,3971.090087890625,4628180000,20.399999618530273,21.600000381469727,19.420000076293945,20.739999771118164,0.0463398270328442,-0.0008683896263867,,,,,,,0.8371,0.2073999977111816,,,,,,,0,0,0,normal
2021-03-30,57635.46,59368.0,57071.35,58746.57,55122.443122,83.71,86.36,82.0,85.08,3963.340087890625,3968.010009765625,3944.35009765625,3958.550048828125,4121510000,20.760000228881836,21.75,19.469999313354492,19.61000061035156,0.0190945915543977,-0.00316282940965,,,,,,,0.8508,0.1961000061035155,,,,,,,0,0,0,normal
2021-03-31,58746.57,59800.0,56769.0,58740.55,60975.542666,85.08,86.82,83.74,86.45,3967.25,3994.409912109375,3966.97998046875,3972.889892578125,4578050000,19.799999237060547,20.11000061035156,18.850000381469727,19.399999618530273,-0.0001024793186737,0.0036159535924198,,,,,,,0.8645,0.1939999961853027,,,,,,,0,0,0,normal
2021-04-01,58739.46,59490.0,57935.45,58720.44,47415.61722,86.45,86.63,81.2,82.38,3992.780029296875,4020.6298828125,3992.780029296875,4019.8701171875,4162130000,18.600000381469727,18.63999938964844,17.290000915527344,17.329999923706055,-0.0003424115563215,0.0117558304276741,,,,,,,0.8238,0.1732999992370605,,,,,,,0,0,0,normal
2021-04-05,58202.01,59272.0,56777.77,59129.99,54258.01579,82.42,82.6,78.73,80.22,4034.43994140625,4083.419921875,4034.43994140625,4077.909912109375,4005030000,18.15999984741211,18.399999618530273,17.350000381469727,17.90999984741211,0.0069503632476363,0.0143349877622439,0.490265043728343,0.1205466716995866,,,,,0.8022,0.179099998474121,0.311934956271657,0.0585533267745344,,,,,0,0,0,normal
2021-04-06,59129.99,59495.24,57413.02,57991.15,54201.000727,80.22,81.3,79.67,81.01,4075.570068359375,4086.22998046875,4068.139892578125,4073.93994140625,4081270000,18.06999969482422,18.299999237060547,17.3700008392334,18.1200008392334,-0.0194478280167704,-0.0009740049407969,0.4901102312178009,0.1293057542244487,,,,,0.8101,0.181200008392334,0.3199897687821991,0.0518942541678852,,,,,0,0,0,normal
2021-04-07,57990.03,58655.0,55473.0,55953.45,71228.405659,81.01,81.14,78.36,78.78,4074.2900390625,4083.1298828125,4068.31005859375,4079.949951171875,4120810000,17.989999771118164,18.170000076293945,16.8700008392334,17.15999984741211,-0.0357703176417728,0.0014741456981068,0.4189089167580933,0.107033299837109,,,,,0.7878000000000001,0.1715999984741211,0.3688910832419068,0.0645666986370121,,,,,0,0,0,normal
2021-04-08,55953.44,58153.31,55700.0,58077.52,44283.147019,78.78,79.0,72.79,74.31,4089.949951171875,4098.18994140625,4082.5400390625,4097.169921875,3907100000,16.920000076293945,17.360000610351562,16.549999237060547,16.950000762939453,0.037258574825073,0.0042117509405917,0.3806923103062216,0.1020731364477459,,,,,0.7431,0.1695000076293945,0.3624076896937784,0.0674268711816486,,,,,0,0,0,normal
2021-04-09,58077.52,58894.9,57654.0,58142.54,40831.884911,74.32,77.54,72.19,77.07,4096.10986328125,4129.47998046875,4095.510009765625,4128.7998046875,3640390000,17.049999237060547,17.34000015258789,16.200000762939453,16.690000534057617,0.0011189119465875,0.0076902881356872,0.3596876978992861,0.0877796165444985,,,,,0.7706999999999999,0.1669000053405761,0.4110123021007138,0.0791203887960776,,,,,0,0,0,normal
2021-04-12,59998.8,61300.0,59350.59,59860.0,56375.037117,82.61,84.81,78.98,84.5,4124.7099609375,4131.759765625,4114.81982421875,4127.990234375,3588900000,17.43000030517578,17.90999984741211,16.809999465942383,16.90999984741211,0.0291109205976017,-0.0001960980747395,0.4043143493465198,0.0948514031249862,,,,,0.845,0.1690999984741211,0.4406856506534802,0.0742485953491349,,,,,0,0,0,normal
2021-04-13,59860.01,63777.77,59805.15,63575.0,82848.688746,84.5,89.14,84.46,88.64,4130.10009765625,4148.0,4124.43017578125,4141.58984375,3734720000,16.989999771118164,17.860000610351562,16.43000030517578,16.649999618530273,0.0602118088836305,0.0032890718770625,0.5291652125376108,0.0843069072742971,,,,,0.8864,0.1664999961853027,0.3572347874623891,0.0821930889110056,,,,,0,0,0,normal
2021-04-14,63575.01,64854.0,61301.0,62959.53,82616.343993,88.64,88.67,83.41,83.85,4141.580078125,4151.68994140625,4120.8701171875,4124.66015625,3985350000,16.709999084472656,17.690000534057617,15.380000114440918,16.989999771118164,-0.0097281722840783,-0.0040961043207301,0.5442338026616341,0.0611642782091901,0.5026028305423104,0.1011321227174717,,,0.8384999999999999,0.1698999977111816,0.2942661973383658,0.1087357195019915,0.3358971694576895,0.0687678749937099,,,0,0,0,normal
2021-04-15,62959.53,63800.0,62020.0,63159.98,51649.70034,83.85,84.25,76.12,77.08,4139.759765625,4173.490234375,4139.759765625,4170.419921875,4033420000,16.780000686645508,16.920000076293945,15.9399995803833,16.56999969482422,0.0031787337071748,0.0110331014011194,0.5105086000722255,0.0794128268142994,0.4827851879319059,0.1051939028150859,,,0.7707999999999999,0.1656999969482422,0.2602913999277744,0.0862871701339428,0.288014812068094,0.0605060941331563,,,0,0,0,normal
2021-04-16,63158.74,63520.61,60000.0,61334.8,91764.139884,77.08,79.26,74.98,77.67,4174.14013671875,4191.31005859375,4170.75,4185.47021484375,4163820000,16.649999618530273,16.8799991607666,16.049999237060547,16.25,-0.0293234910328378,0.0036023233905179,0.4859415892253637,0.0783276777917415,0.4447366216428901,0.090109129762346,,,0.7767000000000001,0.1625,0.2907584107746364,0.0841723222082585,0.33196337835711,0.072390870237654,,,0,0,0,normal
2021-04-19,56150.01,57526.81,54221.58,55633.14,78229.042267,88.4,89.25,82.29,83.2,4179.7998046875,4180.81005859375,4150.47021484375,4163.259765625,3810290000,17.040000915527344,18.61000061035156,16.780000686645508,17.290000915527344,-0.0975683148396118,-0.0053206898937579,0.7855931976814786,0.0946300818439261,0.5960549401781451,0.0962492575947337,,,0.8320000000000001,0.1729000091552734,0.0464068023185214,0.0782699273113473,0.2359450598218549,0.0766507515605397,,,0,0,0,normal
2021-04-20,55633.14,57076.24,53329.96,56425.0,72744.482151,83.2,84.97,80.79,82.96,4159.18017578125,4159.18017578125,4118.3798828125,4134.93994140625,4342650000,17.360000610351562,19.700000762939453,17.239999771118164,18.68000030517578,0.0141332558447691,-0.0068255610050778,0.7944763338213031,0.0997535532426747,0.5929299846133825,0.102146262751556,,,0.8295999999999999,0.1868000030517578,0.0351236661786967,0.0870464498090831,0.2366700153866173,0.0846537403002018,,,0,0,0,normal
2021-04-21,56425.0,56757.91,53536.02,53787.63,66984.756909,82.96,83.55,80.11,83.0,4128.419921875,4175.02001953125,4126.35009765625,4173.419921875,3887250000,18.479999542236328,19.290000915527344,16.90999984741211,17.5,-0.0478688076233732,0.0092630209198532,0.7928337306050411,0.1133462665762925,0.622488165223876,0.1054408710731982,,,0.83,0.175,0.0371662693949588,0.0616537334237074,0.207511834776124,0.0695591289268017,,,0,0,0,normal
2021-04-22,53787.62,55521.48,50500.0,51690.96,104656.631337,83.0,95.93,76.69,87.39,4170.4599609375,4179.56982421875,4123.68994140625,4134.97998046875,4245140000,17.280000686645508,19.899999618530273,16.989999771118164,18.709999084472656,-0.0397606037870505,-0.0092533378605543,0.5953356071062216,0.1292002773720201,0.6374697648860344,0.111141092410143,,,0.8739,0.1870999908447265,0.2785643928937784,0.0578997134727064,0.2364302351139656,0.0759588984345835,,,0,0,0,normal
2021-04-23,51690.95,52131.85,47500.0,51125.14,132230.780719,87.39,96.28,87.39,89.31,4138.77978515625,4194.169921875,4138.77978515625,4180.169921875,3569880000,18.559999465942383,18.780000686645508,16.799999237060547,17.329999923706055,-0.0110065585476512,0.0108694098955309,0.5935936506549163,0.1410429989523109,0.6332398612104332,0.1044675067673045,,,0.8931,0.1732999992370605,0.2995063493450837,0.0322570002847496,0.2598601387895668,0.068832492469756,,,0,0,0,normal
2021-04-26,49066.76,54356.62,48753.44,54001.39,86310.802124,93.46,93.57,80.3,82.66,4185.02978515625,4194.18994140625,4182.35986328125,4187.6201171875,3748320000,17.940000534057617,18.170000076293945,16.8700008392334,17.639999389648438,0.0547334342282034,0.0017806845645826,0.7685162309367365,0.1260329045855255,0.6884727437637322,0.1037164131584495,,,0.8266,0.1763999938964843,0.0580837690632635,0.0503670893109588,0.1381272562362677,0.0726835807380348,,,0,0,0,normal
2021-04-27,54001.38,55460.0,53222.0,55011.97,54064.034675,82.66,82.66,74.21,77.53,4188.25,4193.35009765625,4176.22021484375,4186.72021484375,3710700000,17.6200008392334,18.15999984741211,16.969999313354492,17.559999465942383,0.0185410109430216,-0.0002149189814442,0.8032291543765967,0.1242671176702838,0.6800676826267363,0.1041184248795908,,,0.7753,0.1755999946594238,-0.0279291543765967,0.05133287698914,0.0952323173732636,0.071481569779833,,,0,0,0,normal
2021-04-28,55011.97,56428.0,53813.16,54846.22,55130.459015,77.53,79.2,75.52,76.96,4185.14013671875,4201.52978515625,4181.77978515625,4183.18017578125,3787360000,17.469999313354492,17.84000015258789,16.670000076293945,17.280000686645508,-0.0030175287936096,-0.000845897587396,0.5617293239551318,0.1189419317392054,0.6569779938674032,0.1041011475259364,,,0.7696,0.172800006866455,0.2078706760448682,0.0538580751272496,0.1126220061325967,0.0686988593405186,,,0,0,0,normal
2021-04-29,54846.23,55195.84,52330.94,53555.0,52486.019455,76.96,80.62,75.8,80.2,4206.14013671875,4218.77978515625,4176.81005859375,4211.47021484375,4298680000,16.8799991607666,18.8700008392334,16.770000457763672,17.610000610351562,-0.0238241059065467,0.0067400415367024,0.5620104207300279,0.1105316966475425,0.6616515222593755,0.1030759855063723,,,0.802,0.1761000061035156,0.2399895792699721,0.0655683094559731,0.1403484777406245,0.0730240205971433,,,0,0,0,normal
2021-04-30,53555.0,57963.0,53013.01,57694.27,68578.910045,80.2,80.65,73.95,75.09,4198.10009765625,4198.10009765625,4174.85009765625,4181.169921875,4300880000,17.670000076293945,19.25,17.639999389648438,18.61000061035156,0.0744486986071194,-0.0072207134171198,0.6627672394276376,0.1131397102555036,0.7323041643364997,0.1093248836074681,,,0.7509,0.1861000061035156,0.0881327605723624,0.072960295848012,0.0185958356635003,0.0767751224960475,,,0,0,0,normal
2021-05-03,56578.21,58981.44,56435.0,57169.39,57649.931286,79.09,82.3,75.18,81.79,4191.97998046875,4209.39013671875,4188.02978515625,4192.66015625,4070220000,18.649999618530273,19.1200008392334,17.799999237060547,18.309999465942383,-0.0091392465365389,0.0027443216495121,0.5873504064835666,0.0915965075603948,0.6737015552019203,0.1091197414182061,,,0.8179000000000001,0.1830999946594238,0.2305495935164334,0.091503487099029,0.1441984447980797,0.0739802532412177,,,0,0,0,normal
2021-05-04,57169.39,57200.0,53046.69,53200.01,85324.625903,81.79,88.18,81.79,87.96,4179.0400390625,4179.0400390625,4128.58984375,4164.66015625,4452460000,18.15999984741211,21.850000381469727,18.11000061035156,19.479999542236328,-0.0719600309696674,-0.0067007374898472,0.7802365725561823,0.0798885446796375,0.7271540674201052,0.1119430803415402,,,0.8795999999999999,0.1947999954223633,0.0993634274438176,0.1149114507427257,0.1524459325798947,0.082856915080823,,,0,0,0,normal
2021-05-05,53205.05,58069.82,52900.0,57436.11,77263.923439,87.96,88.2,83.51,84.39,4177.06005859375,4187.72021484375,4160.93994140625,4167.58984375,4230920000,18.84000015258789,19.579999923706055,17.889999389648438,19.149999618530273,0.0766146152879421,0.0007032164471135,0.8462627991007435,0.0788336609749756,0.818001697048968,0.1015356675387479,,,0.8439,0.1914999961853027,-0.0023627991007435,0.1126663352103271,0.025898302951032,0.0899643286465548,,,0,0,0,normal
2021-05-06,57436.11,58360.0,55200.0,56393.68,70181.671908,84.39,85.36,80.31,82.14,4169.14013671875,4202.7001953125,4147.330078125,4201.6201171875,4511000000,18.40999984741211,20.600000381469727,18.209999084472656,18.38999938964844,-0.0183161041178487,0.008132299498632,0.8572833335533365,0.0951454563117981,0.8134431032476802,0.1063956442909062,0.6644514248111768,0.1060885831393813,0.8214,0.1838999938964844,-0.0358833335533365,0.0887545375846863,0.0079568967523198,0.0775043496055782,0.1569485751888232,0.0778114107571031,0,0,0,normal
2021-05-07,56393.68,58650.0,55241.63,57314.75,74542.747829,82.14,83.05,78.3,80.56,4210.33984375,4238.0400390625,4201.64013671875,4232.60009765625,4016080000,18.450000762939453,18.56999969482422,16.68000030517578,16.690000534057617,0.0162009122099635,0.0073462914191863,0.8588591583918178,0.1026516106474168,0.7005597498979036,0.1070521099336921,0.6622289852744481,0.1067247505572232,0.8056,0.1669000053405761,-0.0532591583918178,0.0642483946931593,0.1050402501020963,0.059847895406884,0.1433710147255519,0.0601752547833529,0,0,0,normal
2021-05-10,58240.83,59500.0,53400.0,55816.14,89586.34925,86.05,91.57,85.67,90.26,4228.2900390625,4236.39013671875,4188.1298828125,4188.43017578125,4560700000,17.34000015258789,19.75,17.06999969482422,19.65999984741211,-0.0264949328224086,-0.010490480503138,0.8629320762045722,0.1178920885023078,0.7082262538860632,0.1133110039025001,0.6366303419858188,0.1049411733305428,0.9026,0.1965999984741211,0.0396679237954278,0.0787079099718133,0.1943737461139368,0.083288994571621,0.2659696580141812,0.0916588251435783,0,0,0,normal
2021-05-11,55816.14,56862.43,54370.0,56670.02,64329.54055,90.26,90.54,84.91,86.27,4150.33984375,4162.0400390625,4111.52978515625,4152.10009765625,4870710000,21.170000076293945,23.729999542236328,20.709999084472656,21.84000015258789,0.0151822482267277,-0.0087117501417815,0.7279278475848902,0.1215927559606401,0.6767747822096327,0.1133125236380595,0.6233918967056619,0.109022680288021,0.8626999999999999,0.2184000015258789,0.1347721524151097,0.0968072455652388,0.1859252177903672,0.1050874778878194,0.239308103294338,0.1093773212378579,0,0,0,normal
2021-05-12,56670.02,58000.01,48600.0,49631.32,99842.789836,86.27,94.13,82.91,93.86,4130.5498046875,4134.72998046875,4056.8798828125,4063.0400390625,4733070000,22.420000076293945,28.3799991607666,21.65999984741211,27.59000015258789,-0.13262323703978,-0.0216827823583024,1.0710149000207363,0.169083717788028,0.8773923263732575,0.1410789907691957,0.7281062719856322,0.1275275339489875,0.9386,0.2759000015258789,-0.1324149000207363,0.1068162837378509,0.0612076736267425,0.1348210107566832,0.2104937280143678,0.1483724675768914,0,1,1,stress
2021-05-13,49537.15,51367.19,46000.0,49670.97,147332.002121,93.87,103.81,89.19,92.9,4074.989990234375,4131.580078125,4074.989990234375,4112.5,4779540000,26.030000686645508,28.93000030517578,22.229999542236328,23.1299991607666,0.0007985717571492,0.012099644578094,1.0105959859959628,0.1944646874086801,0.8767083932598629,0.1432087160115436,0.7281702899766069,0.1314265508636454,0.929,0.231299991607666,-0.0815959859959627,0.0368353041989859,0.0522916067401371,0.0880912755961224,0.2008297100233931,0.0998734407440206,0,0,0,normal
